skill,beginner,inter,advanced
text,"<h1,<h2,<h3,<p","<b,<i,<u,<br","<mark,<small,<strong,<em"
links,<a href=,"<target>,<rel>","<nofollow>,<noopener>,<noreferrer>"
lists,"<ul,<li","ol,dl","li value,li type,li start"
multimedia,<img src=,<source>,"<video>,<audio>"
table,<table>,"<tr>,<th>,<td>","<caption>,<colgroup>,<thead>,<tfoot>,<tbody>"
forms,<form>,"<input>,<textarea>,<select>","method,action"
semantic,"<header>,<section>","<footer>,<nav>","<article>,<aside>"
meta,<meta>,"<meta charset>,<meta name>,<meta content>","<meta http-equiv>,<meta viewport>"
scripting,<script>,"<script src>,<script type>","<script async>,<script defer>"
media,"<style>,<link>","@media,@import","media attributes,viewport units"
canvas,"<canvas>,<svg>","<circle>,<rect>,<path>","<animate>,<filter>"
