Username,umema2004
Number of repositories,7
"
"
Repository,Languages
CODSOFT,Python
FrequentItemsetAnalysisonAmazonMetadata_A3,"Jupyter Notebook, Python, Shell"
gitcrawler,Python
pubmed_summarization,"HTML, Python, Jupyter Notebook"
Sentiment-Analysis,Jupyter Notebook
SPOTIFY,"Python, HTML, CSS"
umema2004,
"
"
Matched Items from CV in README and Languages
"Spotify, Flask, MongoDB, librosa, Kafka, Python, Spark, Analysis, spark, C, Frequent, Itemset, Text, Skills, genAI, using, Based, Search, web, Pandas"
